"States and selected areas: Employment status of the civilian noninstitutional population, January 1976 to date, seasonally adjusted",,,,,,,,,,
"States and selected areas: Employment status of the civilian noninstitutional population,",,,,,,,,,,
"January 1976 to date, seasonally adjusted",,,,,,,,,,
,,,,,,,,,,
FIPS Code,State and area,Period,,Civilian non-institutional population,Civilian labor force,,,,,
9,Connecticut,2019,5,"2,911,916","1,926,703",66.2,"1,859,540",63.9,"67,163",3.5
10,Delaware,2019,5,"781,189","485,922",62.2,"468,872",60,"17,050",3.5
11,District of Columbia,2019,5,"562,869","400,818",71.2,"378,488",67.2,"22,330",5.6
12,Florida,2019,5,"17,240,391","10,219,140",59.3,"9,882,406",57.3,"336,734",3.3
13,Georgia,2019,5,"8,189,294","5,149,196",62.9,"4,964,322",60.6,"184,874",3.6
15,Hawaii,2019,5,"1,124,026","683,455",60.8,"665,819",59.2,"17,636",2.6
16,Idaho,2019,5,"1,376,455","884,553",64.3,"859,376",62.4,"25,177",2.8
17,Illinois,2019,5,"10,125,110","6,553,460",64.7,"6,292,072",62.1,"261,388",4
18,Indiana,2019,5,"5,253,498","3,389,418",64.5,"3,280,469",62.4,"108,949",3.2
19,Iowa,2019,5,"2,485,371","1,740,775",70,"1,695,213",68.2,"45,562",2.6
20,Kansas,2019,5,"2,238,968","1,500,745",67,"1,453,453",64.9,"47,292",3.2
21,Kentucky,2019,5,"3,512,368","2,061,179",58.7,"1,975,991",56.3,"85,188",4.1
22,Louisiana,2019,5,"3,583,980","2,097,529",58.5,"2,005,567",56,"91,962",4.4
23,Maine,2019,5,"1,118,542","695,669",62.2,"676,738",60.5,"18,931",2.7
24,Maryland,2019,5,"4,842,415","3,329,099",68.7,"3,217,255",66.4,"111,844",3.4
25,Massachusetts,2019,5,"5,720,593","3,851,270",67.3,"3,734,840",65.3,"116,430",3
26,Michigan,2019,5,"8,045,660","4,980,012",61.9,"4,773,472",59.3,"206,540",4.1
27,Minnesota,2019,5,"4,448,167","3,104,108",69.8,"3,004,744",67.6,"99,364",3.2
28,Mississippi,2019,5,"2,279,535","1,277,931",56.1,"1,208,502",53,"69,429",5.4
29,Missouri,2019,5,"4,807,839","3,062,288",63.7,"2,967,781",61.7,"94,507",3.1
30,Montana,2019,5,"853,005","541,361",63.5,"522,726",61.3,"18,635",3.4
31,Nebraska,2019,5,"1,492,290","1,048,068",70.2,"1,015,982",68.1,"32,086",3.1
32,Nevada,2019,5,"2,402,785","1,538,390",64,"1,475,445",61.4,"62,945",4.1
33,New Hampshire,2019,5,"1,128,455","776,414",68.8,"756,694",67.1,"19,720",2.5
34,New Jersey,2019,5,"7,344,573","4,660,681",63.5,"4,513,215",61.4,"147,466",3.2
35,New Mexico,2019,5,"1,643,494","954,487",58.1,"907,348",55.2,"47,139",4.9
36,New York,2019,5,"16,235,018","9,825,429",60.5,"9,457,415",58.3,"368,014",3.7
51000,New York city,2019,5,"7,112,360","4,257,338",59.9,"4,091,057",57.5,"166,281",3.9
37,North Carolina,2019,5,"8,114,250","4,988,502",61.5,"4,796,934",59.1,"191,568",3.8
38,North Dakota,2019,5,"592,269","414,210",69.9,"405,336",68.4,"8,874",2.1
39,Ohio,2019,5,"9,292,359","5,863,232",63.1,"5,631,578",60.6,"231,654",4
40,Oklahoma,2019,5,"3,010,834","1,839,996",61.1,"1,784,184",59.3,"55,812",3
41,Oregon,2019,5,"3,396,975","2,089,346",61.5,"2,010,068",59.2,"79,278",3.8
42,Pennsylvania,2019,5,"10,405,487","6,563,622",63.1,"6,286,532",60.4,"277,090",4.2
44,Rhode Island,2019,5,"891,095","571,534",64.1,"551,649",61.9,"19,885",3.5
45,South Carolina,2019,5,"3,994,327","2,335,535",58.5,"2,267,519",56.8,"68,016",2.9
46,South Dakota,2019,5,"668,568","463,880",69.4,"450,841",67.4,"13,039",2.8
47,Tennessee,2019,5,"5,388,254","3,339,536",62,"3,229,763",59.9,"109,773",3.3
48,Texas,2019,5,"21,726,130","13,870,063",63.8,"13,392,703",61.6,"477,360",3.4
49,Utah,2019,5,"2,358,065","1,613,666",68.4,"1,572,284",66.7,"41,382",2.6
50,Vermont,2019,5,"531,999","352,876",66.3,"345,963",65,"6,913",2
51,Virginia,2019,5,"6,711,091","4,410,215",65.7,"4,292,873",64,"117,342",2.7
53,Washington,2019,5,"6,017,852","3,950,564",65.6,"3,780,948",62.8,"169,616",4.3
54,West Virginia,2019,5,"1,453,066","792,316",54.5,"754,732",51.9,"37,584",4.7
55,Wisconsin,2019,5,"4,665,454","3,117,636",66.8,"3,017,787",64.7,"99,849",3.2
56,Wyoming,2019,5,"446,974","293,159",65.6,"282,976",63.3,"10,183",3.5
1,Alabama,2019,6,"3,933,687","2,270,985",57.7,"2,201,977",56,"69,008",3
2,Alaska,2019,6,"544,811","352,181",64.6,"332,432",61,"19,749",5.6
4,Arizona,2019,6,"5,530,350","3,427,031",62,"3,263,795",59,"163,236",4.8
5,Arkansas,2019,6,"2,329,422","1,350,112",58,"1,304,386",56,"45,726",3.4
6,California,2019,6,"31,048,572","19,331,406",62.3,"18,559,602",59.8,"771,804",4
37,Los Angeles County,2019,6,"8,070,116","5,126,821",63.5,"4,903,497",60.8,"223,324",4.4
8,Colorado,2019,6,"4,516,637","3,100,694",68.7,"3,022,710",66.9,"77,984",2.5
9,Connecticut,2019,6,"2,912,199","1,928,870",66.2,"1,861,578",63.9,"67,292",3.5
10,Delaware,2019,6,"782,050","486,230",62.2,"469,008",60,"17,222",3.5
11,District of Columbia,2019,6,"562,932","401,158",71.3,"379,300",67.4,"21,858",5.4
12,Florida,2019,6,"17,257,828","10,244,872",59.4,"9,910,497",57.4,"334,375",3.3
13,Georgia,2019,6,"8,198,703","5,157,920",62.9,"4,974,328",60.7,"183,592",3.6
15,Hawaii,2019,6,"1,124,023","683,936",60.8,"666,676",59.3,"17,260",2.5
16,Idaho,2019,6,"1,379,538","887,237",64.3,"861,977",62.5,"25,260",2.8
17,Illinois,2019,6,"10,124,884","6,545,666",64.6,"6,293,838",62.2,"251,828",3.8
18,Indiana,2019,6,"5,256,736","3,388,511",64.5,"3,280,529",62.4,"107,982",3.2
19,Iowa,2019,6,"2,486,696","1,743,894",70.1,"1,697,686",68.3,"46,208",2.6
20,Kansas,2019,6,"2,239,675","1,502,233",67.1,"1,455,294",65,"46,939",3.1
21,Kentucky,2019,6,"3,513,678","2,064,783",58.8,"1,979,673",56.3,"85,110",4.1
22,Louisiana,2019,6,"3,584,166","2,097,356",58.5,"2,004,168",55.9,"93,188",4.4
23,Maine,2019,6,"1,119,234","696,567",62.2,"677,635",60.5,"18,932",2.7
24,Maryland,2019,6,"4,844,464","3,335,713",68.9,"3,224,011",66.6,"111,702",3.3
25,Massachusetts,2019,6,"5,723,449","3,851,981",67.3,"3,736,746",65.3,"115,235",3
26,Michigan,2019,6,"8,047,625","4,981,530",61.9,"4,775,519",59.3,"206,011",4.1
27,Minnesota,2019,6,"4,451,440","3,109,288",69.8,"3,009,846",67.6,"99,442",3.2
28,Mississippi,2019,6,"2,279,700","1,280,594",56.2,"1,210,058",53.1,"70,536",5.5
29,Missouri,2019,6,"4,809,888","3,065,051",63.7,"2,971,199",61.8,"93,852",3.1
30,Montana,2019,6,"853,815","542,703",63.6,"524,051",61.4,"18,652",3.4
31,Nebraska,2019,6,"1,493,231","1,049,455",70.3,"1,017,092",68.1,"32,363",3.1
32,Nevada,2019,6,"2,407,256","1,542,445",64.1,"1,479,940",61.5,"62,505",4.1
33,New Hampshire,2019,6,"1,129,296","777,490",68.8,"757,777",67.1,"19,713",2.5
34,New Jersey,2019,6,"7,348,128","4,675,602",63.6,"4,526,389",61.6,"149,213",3.2
35,New Mexico,2019,6,"1,644,488","955,356",58.1,"908,405",55.2,"46,951",4.9
36,New York,2019,6,"16,237,235","9,830,089",60.5,"9,462,030",58.3,"368,059",3.7
51000,New York city,2019,6,"7,112,776","4,256,981",59.8,"4,094,066",57.6,"162,915",3.8
37,North Carolina,2019,6,"8,122,495","4,995,269",61.5,"4,802,774",59.1,"192,495",3.9
38,North Dakota,2019,6,"592,573","413,922",69.9,"405,249",68.4,"8,673",2.1
39,Ohio,2019,6,"9,295,470","5,873,349",63.2,"5,638,521",60.7,"234,828",4
40,Oklahoma,2019,6,"3,012,458","1,841,790",61.1,"1,785,806",59.3,"55,984",3
41,Oregon,2019,6,"3,400,143","2,089,252",61.4,"2,011,108",59.1,"78,144",3.7
42,Pennsylvania,2019,6,"10,407,703","6,565,227",63.1,"6,289,522",60.4,"275,705",4.2
44,Rhode Island,2019,6,"891,449","572,577",64.2,"552,659",62,"19,918",3.5
45,South Carolina,2019,6,"3,998,982","2,335,624",58.4,"2,271,600",56.8,"64,024",2.7
46,South Dakota,2019,6,"669,161","464,488",69.4,"451,467",67.5,"13,021",2.8
47,Tennessee,2019,6,"5,392,949","3,342,431",62,"3,234,308",60,"108,123",3.2
48,Texas,2019,6,"21,754,681","13,902,969",63.9,"13,423,660",61.7,"479,309",3.4
49,Utah,2019,6,"2,362,646","1,617,106",68.4,"1,576,344",66.7,"40,762",2.5
50,Vermont,2019,6,"532,217","352,570",66.2,"345,735",65,"6,835",1.9
51,Virginia,2019,6,"6,715,591","4,410,741",65.7,"4,298,372",64,"112,369",2.5
53,Washington,2019,6,"6,025,244","3,961,522",65.7,"3,795,591",63,"165,931",4.2
54,West Virginia,2019,6,"1,452,657","793,574",54.6,"755,766",52,"37,808",4.8
55,Wisconsin,2019,6,"4,667,966","3,118,456",66.8,"3,017,229",64.6,"101,227",3.2
56,Wyoming,2019,6,"447,173","293,634",65.7,"283,229",63.3,"10,405",3.5
1,Alabama,2019,7,"3,935,925","2,272,417",57.7,"2,204,800",56,"67,617",3
2,Alaska,2019,7,"544,782","352,431",64.7,"332,652",61.1,"19,779",5.6
4,Arizona,2019,7,"5,539,136","3,435,830",62,"3,272,476",59.1,"163,354",4.8
5,Arkansas,2019,7,"2,330,351","1,350,860",58,"1,304,620",56,"46,240",3.4
6,California,2019,7,"31,056,372","19,348,613",62.3,"18,578,213",59.8,"770,400",4
37,Los Angeles County,2019,7,"8,068,815","5,137,068",63.7,"4,912,581",60.9,"224,487",4.4
8,Colorado,2019,7,"4,522,526","3,104,792",68.7,"3,027,050",66.9,"77,742",2.5
9,Connecticut,2019,7,"2,912,497","1,931,668",66.3,"1,863,618",64,"68,050",3.5
10,Delaware,2019,7,"782,884","486,541",62.1,"469,076",59.9,"17,465",3.6
11,District of Columbia,2019,7,"563,055","401,231",71.3,"379,717",67.4,"21,514",5.4
12,Florida,2019,7,"17,275,460","10,270,479",59.5,"9,937,644",57.5,"332,835",3.2
13,Georgia,2019,7,"8,208,204","5,167,443",63,"4,984,542",60.7,"182,901",3.5
15,Hawaii,2019,7,"1,124,033","684,855",60.9,"667,893",59.4,"16,962",2.5
16,Idaho,2019,7,"1,382,608","890,068",64.4,"864,504",62.5,"25,564",2.9
17,Illinois,2019,7,"10,124,747","6,538,799",64.6,"6,292,564",62.2,"246,235",3.8
18,Indiana,2019,7,"5,260,092","3,390,986",64.5,"3,282,474",62.4,"108,512",3.2
19,Iowa,2019,7,"2,488,043","1,746,635",70.2,"1,699,505",68.3,"47,130",2.7
20,Kansas,2019,7,"2,240,381","1,504,280",67.1,"1,457,332",65,"46,948",3.1
21,Kentucky,2019,7,"3,515,057","2,068,201",58.8,"1,983,152",56.4,"85,049",4.1
22,Louisiana,2019,7,"3,584,412","2,098,663",58.5,"2,002,936",55.9,"95,727",4.6
23,Maine,2019,7,"1,119,929","697,892",62.3,"678,588",60.6,"19,304",2.8
24,Maryland,2019,7,"4,846,553","3,342,504",69,"3,230,392",66.7,"112,112",3.4
25,Massachusetts,2019,7,"5,726,374","3,852,045",67.3,"3,737,386",65.3,"114,659",3
26,Michigan,2019,7,"8,049,743","4,982,608",61.9,"4,777,311",59.3,"205,297",4.1
27,Minnesota,2019,7,"4,454,727","3,114,434",69.9,"3,013,969",67.7,"100,465",3.2
28,Mississippi,2019,7,"2,279,905","1,282,644",56.3,"1,210,825",53.1,"71,819",5.6
29,Missouri,2019,7,"4,812,034","3,070,084",63.8,"2,974,952",61.8,"95,132",3.1
30,Montana,2019,7,"854,612","544,222",63.7,"525,429",61.5,"18,793",3.5
31,Nebraska,2019,7,"1,494,151","1,051,121",70.3,"1,018,260",68.1,"32,861",3.1
32,Nevada,2019,7,"2,411,708","1,546,789",64.1,"1,484,250",61.5,"62,539",4
33,New Hampshire,2019,7,"1,130,139","778,798",68.9,"758,982",67.2,"19,816",2.5
34,New Jersey,2019,7,"7,351,695","4,692,162",63.8,"4,537,805",61.7,"154,357",3.3
35,New Mexico,2019,7,"1,645,429","956,147",58.1,"909,259",55.3,"46,888",4.9
36,New York,2019,7,"16,239,668","9,839,039",60.6,"9,466,984",58.3,"372,055",3.8
51000,New York city,2019,7,"7,113,257","4,257,462",59.9,"4,095,817",57.6,"161,645",3.8
37,North Carolina,2019,7,"8,130,882","5,003,468",61.5,"4,809,283",59.1,"194,185",3.9
38,North Dakota,2019,7,"592,864","413,784",69.8,"405,188",68.3,"8,596",2.1
39,Ohio,2019,7,"9,298,730","5,883,549",63.3,"5,643,126",60.7,"240,423",4.1
40,Oklahoma,2019,7,"3,014,120","1,844,034",61.2,"1,787,079",59.3,"56,955",3.1
41,Oregon,2019,7,"3,403,331","2,090,050",61.4,"2,012,938",59.1,"77,112",3.7
42,Pennsylvania,2019,7,"10,410,068","6,570,053",63.1,"6,292,995",60.5,"277,058",4.2
44,Rhode Island,2019,7,"891,833","573,962",64.4,"553,901",62.1,"20,061",3.5
45,South Carolina,2019,7,"4,003,679","2,334,962",58.3,"2,274,722",56.8,"60,240",2.6
46,South Dakota,2019,7,"669,757","465,118",69.4,"452,090",67.5,"13,028",2.8
47,Tennessee,2019,7,"5,397,746","3,344,030",62,"3,236,483",60,"107,547",3.2
48,Texas,2019,7,"21,783,425","13,939,327",64,"13,453,151",61.8,"486,176",3.5
49,Utah,2019,7,"2,367,241","1,620,597",68.5,"1,580,338",66.8,"40,259",2.5
50,Vermont,2019,7,"532,451","352,520",66.2,"345,573",64.9,"6,947",2
51,Virginia,2019,7,"6,720,136","4,413,339",65.7,"4,302,836",64,"110,503",2.5
53,Washington,2019,7,"6,032,722","3,970,828",65.8,"3,807,376",63.1,"163,452",4.1
54,West Virginia,2019,7,"1,452,296","795,093",54.7,"756,606",52.1,"38,487",4.8
55,Wisconsin,2019,7,"4,670,599","3,119,220",66.8,"3,016,860",64.6,"102,360",3.3
56,Wyoming,2019,7,"447,355","294,134",65.7,"283,420",63.4,"10,714",3.6
1,Alabama,2019,8,"3,938,622","2,274,092",57.7,"2,206,900",56,"67,192",3
2,Alaska,2019,8,"544,796","352,519",64.7,"332,767",61.1,"19,752",5.6
4,Arizona,2019,8,"5,549,920","3,444,567",62.1,"3,280,945",59.1,"163,622",4.8
5,Arkansas,2019,8,"2,331,755","1,352,470",58,"1,305,498",56,"46,972",3.5
6,California,2019,8,"31,065,534","19,374,392",62.4,"18,600,428",59.9,"773,964",4
37,Los Angeles County,2019,8,"8,066,199","5,149,935",63.8,"4,923,286",61,"226,649",4.4
8,Colorado,2019,8,"4,528,179","3,109,232",68.7,"3,030,953",66.9,"78,279",2.5
9,Connecticut,2019,8,"2,913,303","1,934,585",66.4,"1,865,467",64,"69,118",3.6
10,Delaware,2019,8,"783,900","486,740",62.1,"469,058",59.8,"17,682",3.6
11,District of Columbia,2019,8,"563,264","401,209",71.2,"379,940",67.5,"21,269",5.3
12,Florida,2019,8,"17,297,522","10,293,670",59.5,"9,963,063",57.6,"330,607",3.2
13,Georgia,2019,8,"8,217,317","5,176,674",63,"4,994,674",60.8,"182,000",3.5
15,Hawaii,2019,8,"1,124,182","686,087",61,"669,366",59.5,"16,721",2.4
16,Idaho,2019,8,"1,386,009","892,813",64.4,"866,922",62.5,"25,891",2.9
17,Illinois,2019,8,"10,124,669","6,532,501",64.5,"6,288,945",62.1,"243,556",3.7
18,Indiana,2019,8,"5,263,618","3,396,110",64.5,"3,286,163",62.4,"109,947",3.2
19,Iowa,2019,8,"2,489,313","1,748,715",70.2,"1,700,716",68.3,"47,999",2.7
20,Kansas,2019,8,"2,241,511","1,506,483",67.2,"1,459,393",65.1,"47,090",3.1
21,Kentucky,2019,8,"3,516,657","2,071,087",58.9,"1,986,225",56.5,"84,862",4.1
22,Louisiana,2019,8,"3,584,749","2,101,238",58.6,"2,002,420",55.9,"98,818",4.7
23,Maine,2019,8,"1,120,729","699,290",62.4,"679,423",60.6,"19,867",2.8
24,Maryland,2019,8,"4,848,807","3,348,758",69.1,"3,236,565",66.7,"112,193",3.4
25,Massachusetts,2019,8,"5,729,205","3,851,131",67.2,"3,736,793",65.2,"114,338",3
26,Michigan,2019,8,"8,052,130","4,983,277",61.9,"4,779,296",59.4,"203,981",4.1
27,Minnesota,2019,8,"4,457,757","3,118,776",70,"3,016,903",67.7,"101,873",3.3
28,Mississippi,2019,8,"2,280,206","1,283,943",56.3,"1,211,235",53.1,"72,708",5.7
29,Missouri,2019,8,"4,814,646","3,076,870",63.9,"2,978,809",61.9,"98,061",3.2
30,Montana,2019,8,"855,641","545,694",63.8,"526,716",61.6,"18,978",3.5
31,Nebraska,2019,8,"1,495,187","1,052,794",70.4,"1,019,443",68.2,"33,351",3.2
32,Nevada,2019,8,"2,415,911","1,551,265",64.2,"1,488,354",61.6,"62,911",4.1
33,New Hampshire,2019,8,"1,131,082","780,182",69,"760,222",67.2,"19,960",2.6
34,New Jersey,2019,8,"7,355,953","4,708,611",64,"4,547,199",61.8,"161,412",3.4
35,New Mexico,2019,8,"1,646,773","956,844",58.1,"910,017",55.3,"46,827",4.9
36,New York,2019,8,"16,241,214","9,850,830",60.7,"9,473,027",58.3,"377,803",3.8
51000,New York city,2019,8,"7,111,339","4,258,320",59.9,"4,096,743",57.6,"161,577",3.8
37,North Carolina,2019,8,"8,140,094","5,012,022",61.6,"4,816,667",59.2,"195,355",3.9
38,North Dakota,2019,8,"593,157","413,810",69.8,"405,192",68.3,"8,618",2.1
39,Ohio,2019,8,"9,302,156","5,892,248",63.3,"5,645,923",60.7,"246,325",4.2
40,Oklahoma,2019,8,"3,016,380","1,846,599",61.2,"1,788,429",59.3,"58,170",3.2
41,Oregon,2019,8,"3,406,538","2,091,021",61.4,"2,015,331",59.2,"75,690",3.6
42,Pennsylvania,2019,8,"10,413,671","6,577,584",63.2,"6,296,852",60.5,"280,732",4.3
44,Rhode Island,2019,8,"892,328","575,428",64.5,"555,254",62.2,"20,174",3.5
45,South Carolina,2019,8,"4,009,083","2,334,381",58.2,"2,276,857",56.8,"57,524",2.5
46,South Dakota,2019,8,"670,321","465,767",69.5,"452,737",67.5,"13,030",2.8
47,Tennessee,2019,8,"5,403,683","3,345,620",61.9,"3,237,339",59.9,"108,281",3.2
48,Texas,2019,8,"21,816,199","13,974,079",64.1,"13,480,484",61.8,"493,595",3.5
49,Utah,2019,8,"2,371,844","1,624,092",68.5,"1,584,229",66.8,"39,863",2.5
50,Vermont,2019,8,"532,741","352,724",66.2,"345,548",64.9,"7,176",2
51,Virginia,2019,8,"6,724,958","4,418,869",65.7,"4,306,986",64,"111,883",2.5
53,Washington,2019,8,"6,040,434","3,979,173",65.9,"3,817,129",63.2,"162,044",4.1
54,West Virginia,2019,8,"1,452,082","796,486",54.9,"757,140",52.1,"39,346",4.9
55,Wisconsin,2019,8,"4,673,489","3,119,618",66.8,"3,016,594",64.5,"103,024",3.3
56,Wyoming,2019,8,"447,659","294,582",65.8,"283,552",63.3,"11,030",3.7
1,Alabama,2019,9,"3,941,513","2,275,671",57.7,"2,208,390",56,"67,281",3
2,Alaska,2019,9,"544,827","352,392",64.7,"332,908",61.1,"19,484",5.5
4,Arizona,2019,9,"5,560,987","3,453,362",62.1,"3,290,234",59.2,"163,128",4.7
5,Arkansas,2019,9,"2,333,257","1,354,525",58.1,"1,307,116",56,"47,409",3.5
6,California,2019,9,"31,076,349","19,408,372",62.5,"18,631,259",60,"777,113",4
37,Los Angeles County,2019,9,"8,063,635","5,165,801",64.1,"4,937,021",61.2,"228,780",4.4
8,Colorado,2019,9,"4,534,053","3,114,742",68.7,"3,035,630",67,"79,112",2.5
9,Connecticut,2019,9,"2,914,238","1,937,390",66.5,"1,867,477",64.1,"69,913",3.6
10,Delaware,2019,9,"784,987","486,808",62,"469,074",59.8,"17,734",3.6
11,District of Columbia,2019,9,"563,489","401,497",71.3,"380,468",67.5,"21,029",5.2
12,Florida,2019,9,"17,320,474","10,315,896",59.6,"9,989,870",57.7,"326,026",3.2
13,Georgia,2019,9,"8,226,839","5,186,023",63,"5,005,921",60.8,"180,102",3.5
15,Hawaii,2019,9,"1,124,406","687,604",61.2,"671,128",59.7,"16,476",2.4
16,Idaho,2019,9,"1,389,506","895,406",64.4,"869,479",62.6,"25,927",2.9
17,Illinois,2019,9,"10,125,097","6,526,272",64.5,"6,285,370",62.1,"240,902",3.7
18,Indiana,2019,9,"5,267,359","3,402,629",64.6,"3,291,736",62.5,"110,893",3.3
19,Iowa,2019,9,"2,490,670","1,750,192",70.3,"1,701,873",68.3,"48,319",2.8
20,Kansas,2019,9,"2,242,765","1,508,696",67.3,"1,461,702",65.2,"46,994",3.1
21,Kentucky,2019,9,"3,518,418","2,073,275",58.9,"1,989,043",56.5,"84,232",4.1
22,Louisiana,2019,9,"3,585,353","2,104,441",58.7,"2,003,371",55.9,"101,070",4.8
23,Maine,2019,9,"1,121,582","700,530",62.5,"680,117",60.6,"20,413",2.9
24,Maryland,2019,9,"4,851,287","3,354,522",69.1,"3,243,530",66.9,"110,992",3.3
25,Massachusetts,2019,9,"5,732,271","3,849,991",67.2,"3,736,338",65.2,"113,653",3
26,Michigan,2019,9,"8,054,875","4,984,362",61.9,"4,783,558",59.4,"200,804",4
27,Minnesota,2019,9,"4,461,032","3,122,553",70,"3,020,069",67.7,"102,484",3.3
28,Mississippi,2019,9,"2,280,607","1,283,940",56.3,"1,211,441",53.1,"72,499",5.6
29,Missouri,2019,9,"4,817,444","3,084,308",64,"2,983,100",61.9,"101,208",3.3
30,Montana,2019,9,"856,768","547,135",63.9,"528,057",61.6,"19,078",3.5
31,Nebraska,2019,9,"1,496,322","1,054,396",70.5,"1,020,894",68.2,"33,502",3.2
32,Nevada,2019,9,"2,420,187","1,555,892",64.3,"1,492,637",61.7,"63,255",4.1
33,New Hampshire,2019,9,"1,132,089","781,527",69,"761,509",67.3,"20,018",2.6
34,New Jersey,2019,9,"7,360,512","4,723,935",64.2,"4,555,901",61.9,"168,034",3.6
35,New Mexico,2019,9,"1,648,226","957,667",58.1,"911,042",55.3,"46,625",4.9
36,New York,2019,9,"16,243,511","9,866,954",60.7,"9,485,467",58.4,"381,487",3.9
51000,New York city,2019,9,"7,109,410","4,261,064",59.9,"4,099,849",57.7,"161,215",3.8
37,North Carolina,2019,9,"8,149,721","5,020,101",61.6,"4,825,655",59.2,"194,446",3.9
38,North Dakota,2019,9,"593,480","413,984",69.8,"405,344",68.3,"8,640",2.1
39,Ohio,2019,9,"9,306,022","5,900,321",63.4,"5,649,975",60.7,"250,346",4.2
40,Oklahoma,2019,9,"3,018,820","1,849,199",61.3,"1,790,422",59.3,"58,777",3.2
41,Oregon,2019,9,"3,409,906","2,091,667",61.3,"2,018,065",59.2,"73,602",3.5
42,Pennsylvania,2019,9,"10,417,729","6,586,560",63.2,"6,302,246",60.5,"284,314",4.3
44,Rhode Island,2019,9,"892,883","576,749",64.6,"556,699",62.3,"20,050",3.5
45,South Carolina,2019,9,"4,014,674","2,335,081",58.2,"2,278,832",56.8,"56,249",2.4
46,South Dakota,2019,9,"670,947","466,194",69.5,"453,256",67.6,"12,938",2.8
47,Tennessee,2019,9,"5,409,822","3,348,584",61.9,"3,238,809",59.9,"109,775",3.3
48,Texas,2019,9,"21,850,139","14,006,458",64.1,"13,510,491",61.8,"495,967",3.5
49,Utah,2019,9,"2,376,607","1,627,849",68.5,"1,588,410",66.8,"39,439",2.4
50,Vermont,2019,9,"533,024","353,130",66.3,"345,754",64.9,"7,376",2.1
51,Virginia,2019,9,"6,730,155","4,427,413",65.8,"4,312,311",64.1,"115,102",2.6
53,Washington,2019,9,"6,048,453","3,988,227",65.9,"3,827,970",63.3,"160,257",4
54,West Virginia,2019,9,"1,451,943","797,610",54.9,"757,674",52.2,"39,936",5
55,Wisconsin,2019,9,"4,676,576","3,119,827",66.7,"3,017,122",64.5,"102,705",3.3
56,Wyoming,2019,9,"447,980","294,998",65.9,"283,712",63.3,"11,286",3.8
1,Alabama,2019,10,"3,944,209","2,276,579",57.7,"2,208,634",56,"67,945",3
2,Alaska,2019,10,"544,875","352,084",64.6,"332,997",61.1,"19,087",5.4
4,Arizona,2019,10,"5,571,732","3,462,437",62.1,"3,299,741",59.2,"162,696",4.7
5,Arkansas,2019,10,"2,334,662","1,356,307",58.1,"1,308,734",56.1,"47,573",3.5
6,California,2019,10,"31,085,326","19,446,774",62.6,"18,664,056",60,"782,718",4
37,Los Angeles County,2019,10,"8,061,030","5,184,282",64.3,"4,952,072",61.4,"232,210",4.5
8,Colorado,2019,10,"4,539,699","3,121,249",68.8,"3,040,414",67,"80,835",2.6
9,Connecticut,2019,10,"2,915,082","1,939,660",66.5,"1,869,018",64.1,"70,642",3.6
10,Delaware,2019,10,"786,022","486,656",61.9,"469,006",59.7,"17,650",3.6
11,District of Columbia,2019,10,"563,669","402,159",71.3,"381,209",67.6,"20,950",5.2
12,Florida,2019,10,"17,342,554","10,337,586",59.6,"10,017,191",57.8,"320,395",3.1
13,Georgia,2019,10,"8,235,985","5,195,342",63.1,"5,016,823",60.9,"178,519",3.4
15,Hawaii,2019,10,"1,124,531","689,001",61.3,"672,783",59.8,"16,218",2.4
16,Idaho,2019,10,"1,392,896","897,734",64.5,"872,018",62.6,"25,716",2.9
17,Illinois,2019,10,"10,124,996","6,520,151",64.4,"6,281,941",62,"238,210",3.7
18,Indiana,2019,10,"5,270,906","3,408,282",64.7,"3,297,024",62.6,"111,258",3.3
19,Iowa,2019,10,"2,491,968","1,750,527",70.2,"1,702,461",68.3,"48,066",2.7
20,Kansas,2019,10,"2,243,910","1,510,635",67.3,"1,463,870",65.2,"46,765",3.1
21,Kentucky,2019,10,"3,520,039","2,074,564",58.9,"1,990,910",56.6,"83,654",4
22,Louisiana,2019,10,"3,585,721","2,106,733",58.8,"2,004,636",55.9,"102,097",4.8
23,Maine,2019,10,"1,122,420","701,424",62.5,"680,443",60.6,"20,981",3
24,Maryland,2019,10,"4,853,557","3,359,875",69.2,"3,250,581",67,"109,294",3.3
25,Massachusetts,2019,10,"5,735,157","3,848,787",67.1,"3,735,699",65.1,"113,088",2.9
26,Michigan,2019,10,"8,057,259","4,985,184",61.9,"4,789,140",59.4,"196,044",3.9
27,Minnesota,2019,10,"4,464,132","3,126,533",70,"3,023,787",67.7,"102,746",3.3
28,Mississippi,2019,10,"2,280,882","1,283,133",56.3,"1,211,497",53.1,"71,636",5.6
29,Missouri,2019,10,"4,820,114","3,090,542",64.1,"2,986,950",62,"103,592",3.4
30,Montana,2019,10,"857,808","548,532",63.9,"529,352",61.7,"19,180",3.5
31,Nebraska,2019,10,"1,497,372","1,055,661",70.5,"1,022,331",68.3,"33,330",3.2
32,Nevada,2019,10,"2,424,377","1,560,472",64.4,"1,496,736",61.7,"63,736",4.1
33,New Hampshire,2019,10,"1,133,046","782,544",69.1,"762,494",67.3,"20,050",2.6
34,New Jersey,2019,10,"7,364,742","4,737,597",64.3,"4,563,497",62,"174,100",3.7
35,New Mexico,2019,10,"1,649,583","958,756",58.1,"912,102",55.3,"46,654",4.9
36,New York,2019,10,"16,245,034","9,886,551",60.9,"9,502,064",58.5,"384,487",3.9
